Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Nariman Abbasov,"5' 8""","66.0""",28,4,0,20%,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darion Abbey,"6' 2""","80.0""",9,5,0,50%,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamdy Abdelwahab,"6' 2""","72.0""",7,1,0,55%,51%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Mansur Abdul-Malik,"6' 2""","80.0""",9,0,1,48%,51%,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
Daichi Abe,"5' 11""","71.0""",6,2,0,33%,56%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Klidson Abreu,"6' 0""","74.0""",15,4,0,40%,55%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
John Adajar,"5' 9""","75.0""",6,2,0,52%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,"6' 5""","80.0""",5,3,0,55%,34%,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Anthony Adams,"6' 1""","76.0""",8,2,0,41%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarrukh Adashev,"5' 5""","65.0""",4,4,0,40%,64%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Israel Adesanya,"6' 4""","80.0""",24,5,0,48%,55%,0.0,8.0,5.0,0.0,1.0,4.0,2.0,0.0,6.0
Mohamed Ado,"5' 11""","76.0""",5,1,0,83%,75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariya Agapova,"5' 6""","68.0""",10,5,0,54%,52%,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Kantharaj Agasa,0,0,12,3,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,"6' 0""",0,17,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Aguilar,"5' 7""","73.0""",17,5,0,40%,52%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jesus Aguilar,"5' 4""","62.0""",12,4,0,38%,61%,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Christian Aguilera,"5' 9""","72.0""",14,8,0,37%,48%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Nick Aguirre,"5' 9""","74.0""",7,2,0,33%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agulali,"5' 9""","67.0""",13,2,0,60%,59%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashiek Ajim,"5' 8""","71.0""",6,2,0,40%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omari Akhmedov,"6' 0""","73.0""",21,6,1,34%,55%,0.0,6.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0
Rostem Akman,"5' 10""","72.0""",6,2,0,25%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,"5' 8""","69.0""",15,4,0,34%,59%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herdem Alacabek,"6' 2""","75.0""",5,1,0,65%,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alatengheili,"5' 5""","66.0""",17,10,2,32%,57%,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
Amir Albazi,"5' 5""","68.0""",17,3,0,33%,59%,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0
