Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Nariman Abbasov,68.0,66.0,28,4,0,20.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darion Abbey,74.0,80.0,9,5,0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamdy Abdelwahab,74.0,72.0,7,1,0,55.0,51.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Mansur Abdul-Malik,74.0,80.0,9,0,1,48.0,51.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
Daichi Abe,71.0,71.0,6,2,0,33.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Klidson Abreu,72.0,74.0,15,4,0,40.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
John Adajar,69.0,75.0,6,2,0,52.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,77.0,80.0,5,3,0,55.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Anthony Adams,73.0,76.0,8,2,0,41.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarrukh Adashev,65.0,65.0,4,4,0,40.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Israel Adesanya,76.0,80.0,24,5,0,48.0,55.0,0.0,8.0,5.0,0.0,1.0,4.0,2.0,0.0,6.0
Mohamed Ado,71.0,76.0,5,1,0,83.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariya Agapova,66.0,68.0,10,5,0,54.0,52.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Kantharaj Agasa,0.0,0.0,12,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,72.0,0.0,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Aguilar,67.0,73.0,17,5,0,40.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jesus Aguilar,64.0,62.0,12,4,0,38.0,61.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Christian Aguilera,69.0,72.0,14,8,0,37.0,48.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Nick Aguirre,69.0,74.0,7,2,0,33.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agulali,69.0,67.0,13,2,0,60.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashiek Ajim,68.0,71.0,6,2,0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omari Akhmedov,72.0,73.0,21,6,1,34.0,55.0,0.0,6.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0
Rostem Akman,70.0,72.0,6,2,0,25.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,68.0,69.0,15,4,0,34.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herdem Alacabek,74.0,75.0,5,1,0,65.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alatengheili,65.0,66.0,17,10,2,32.0,57.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
Amir Albazi,65.0,68.0,17,3,0,33.0,59.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0
John Albert,68.0,68.0,6,5,0,49.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Junior Albini,75.0,74.0,14,6,0,51.0,52.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Aleksandra Albu,62.0,63.0,3,2,0,47.0,38.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Irene Aldana,69.0,68.0,15,8,0,39.0,56.0,0.0,4.0,3.0,1.0,2.0,0.0,6.0,0.0,0.0
Hector Aldana,71.0,72.0,4,3,0,38.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Alday,67.0,68.0,14,6,1,44.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Aldo,67.0,70.0,32,10,0,46.0,60.0,0.0,10.0,4.0,0.0,2.0,1.0,3.0,1.0,7.0
JJ Aldrich,65.0,67.0,14,7,0,47.0,61.0,0.0,9.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
Irina Alekseeva,68.0,67.0,5,4,0,38.0,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Talita Alencar,61.0,58.0,7,1,1,37.0,55.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Jim Alers,69.0,71.0,13,3,0,40.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lucas Alexander,71.0,73.0,8,5,0,57.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marcio Alexandre Junior,72.0,75.0,17,4,0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Algeo,72.0,73.0,18,9,0,51.0,47.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0
Nurullo Aliev,70.0,72.0,11,0,0,44.0,58.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Ikram Aliskerov,72.0,76.0,17,2,0,64.0,41.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
Leon Aliu,72.0,74.0,10,2,0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Allan,73.0,75.0,13,7,0,42.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnold Allen,68.0,70.0,20,4,0,42.0,60.0,0.0,7.0,2.0,2.0,1.0,1.0,9.0,0.0,0.0
Brendan Allen,74.0,75.0,26,7,0,53.0,47.0,0.0,5.0,2.0,7.0,4.0,2.0,6.0,1.0,1.0
Daniel Allen,72.0,75.0,5,0,0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asu Almabayev,64.0,65.0,23,3,0,50.0,53.0,0.0,4.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0
Bekzat Almakhan,67.0,68.0,12,3,0,34.0,36.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
John Dave Almanza,67.0,67.0,6,1,0,41.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Almeida,67.0,70.0,22,5,0,43.0,61.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0
Ericka Almeida,66.0,0.0,7,3,0,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estefani Almeida,64.0,0.0,7,3,0,37.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailton Almeida,75.0,79.0,22,5,0,62.0,43.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0
Lucas Almeida,71.0,71.0,15,5,0,39.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Cesar Almeida,73.0,74.0,7,2,0,58.0,46.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
Sarah Alpar,64.0,63.0,9,6,0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
